cell_type,total_xenium_cells,spots_with_cells,mean_proportion_on_gt_spots
B Cells,1193,183,0.020122133225483035
CD4+ T Cells,1994,144,0.020967556118330042
CD8+ T Cells,1675,200,0.020709941138202393
DCIS 1,2341,102,0.03576782342059371
DCIS 2,3422,64,0.04333170132429957
Endothelial,2190,303,0.06997134752248009
IRF7+ DCs,131,62,0.001960904705270815
Invasive Tumor,5189,125,0.07606067968442952
LAMP3+ DCs,88,32,0.0007260023256802733
Macrophages 1,2707,292,0.046388867336061484
Macrophages 2,546,250,0.03673612298854774
Mast Cells,58,49,0.0019648207714371316
Myoepi ACTA2+,1960,103,0.02586155543516203
Myoepi KRT15+,800,53,0.009945786454070873
Perivascular-Like,165,73,0.005136258779667427
Prolif Invasive Tumor,566,68,0.007619126044879619
Stromal,12984,466,0.5722029583005905
Stromal & T Cell Hybrid,193,109,0.003575514517448445
T Cell & Tumor Hybrid,73,43,0.0009508999073651141
