rank_by_jsd,method,source,jsd,spotwise_cosine,mean_celltype_pearson,rmse,runtime_seconds,peak_cuda_memory_mb,paired_permutation_p,jsd_mean,jsd_std,spotwise_cosine_mean,spotwise_cosine_std
1,WaveST-Gate,main_model,0.01293,0.9933,0.9283,0.01786,,,,0.01293,0.0004095,0.9933,0.0006218
2,BayesPrism,formal_baseline,0.2377,0.7112,0.02756,0.1191,53.51,0.0,9.999e-05,0.2378,0.007103,0.711,0.01685
3,RCTD (multi),formal_baseline,0.2443,0.7146,-0.02163,0.1464,234.7,0.0,9.999e-05,0.2442,0.01115,0.7146,0.01846
4,SpatialDWLS/Seurat,formal_baseline,0.2524,0.6918,-0.01531,0.139,1660.0,0.0,9.999e-05,0.2521,0.01037,0.6922,0.01808
5,CARD,formal_baseline,0.2726,0.6755,-0.01097,0.1291,365.5,0.0,9.999e-05,0.2726,0.009657,0.6754,0.01855
6,reference_cosine,simple_baseline,0.2848,0.6727,0.006956,0.1281,0.09226,,9.999e-05,0.2847,0.004643,0.6728,0.01394
7,reference_nnls,simple_baseline,0.304,0.5996,0.01271,0.1452,2.182,,9.999e-05,0.3038,0.009469,0.5998,0.01634
8,SpatialDWLS,formal_baseline,0.3128,0.5946,-0.01309,0.1444,21.78,0.0,9.999e-05,0.3126,0.009923,0.5946,0.01806
9,"Tangram (rna_count_based, 1000 epochs)",Tangram,0.3604,0.439,0.00209,0.1663,6.805,65.19,9.999e-05,0.3602,0.006431,0.4393,0.01297
10,cell2location,formal_baseline,0.3677,0.502,0.02936,0.1496,959.0,42.88,9.999e-05,0.3677,0.004394,0.5019,0.01078
11,"Tangram (uniform, 1000 epochs)",Tangram,0.4065,0.3468,0.02857,0.1716,6.357,65.19,9.999e-05,0.4065,0.0052,0.3468,0.008984
12,uniform,simple_baseline,0.4412,0.3367,0.0,0.1635,0.009299,,9.999e-05,0.4413,0.005725,0.3367,0.005095
13,SPOTlight,formal_baseline,0.5691,0.07878,-0.0106,0.2007,128.2,0.0,9.999e-05,0.5693,0.003547,0.07861,0.00338
